"Realized Gain/Loss - Lot Details for SAMPLE999 as of Wed May 13  15:38:44 EDT 2026 from 01/01/2026 to 05/13/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"MSFT","MICROSOFT CORP","03/20/2026","09/12/2023","5","$395.00","$315.00","$1,975.00","$1,575.00","$400.00","25.396825396825%","$400.00","","Long Term","$1,575.00","No","","03/20/2026","","","","","","",""
"MSFT","MICROSOFT CORP","02/15/2026","06/10/2022","8","$420.00","$255.00","$3,360.00","$2,040.00","$1,320.00","64.705882352941%","$1,320.00","","Long Term","$2,040.00","No","","02/15/2026","","","","","","",""
"MSFT","MICROSOFT CORP","02/15/2026","03/15/2022","10","$420.00","$160.00","$4,200.00","$1,600.00","$2,600.00","162.500000000000%","$2,600.00","","Long Term","$1,600.00","No","","02/15/2026","","","","","","",""
"GOOGL","ALPHABET INC CLASS A","04/22/2026","08/08/2024","5","$165.00","$180.00","$825.00","$900.00","-$75.00","-8.333333333333%","-$75.00","","Long Term","$900.00","No","","04/22/2026","","","","","","",""
"GOOGL","ALPHABET INC CLASS A","03/05/2026","05/09/2024","6","$155.00","$176.00","$930.00","$1,056.00","-$126.00","-11.931818181818%","-$126.00","","Long Term","$1,056.00","No","","03/05/2026","","","","","","",""
"GOOGL","ALPHABET INC CLASS A","03/05/2026","02/08/2024","4","$155.00","$145.00","$620.00","$580.00","$40.00","6.896551724138%","$40.00","","Long Term","$580.00","No","","03/05/2026","","","","","","",""
"GOOGL","ALPHABET INC CLASS A","02/20/2026","11/09/2023","5","$168.00","$138.00","$840.00","$690.00","$150.00","21.739130434783%","$150.00","","Long Term","$690.00","No","","02/20/2026","","","","","","",""
"GOOGL","ALPHABET INC CLASS A","02/20/2026","08/10/2023","3","$168.00","$130.00","$504.00","$390.00","$114.00","29.230769230769%","$114.00","","Long Term","$390.00","No","","02/20/2026","","","","","","",""
"GOOGL","ALPHABET INC CLASS A","01/15/2026","05/11/2023","6","$172.00","$122.00","$1,032.00","$732.00","$300.00","40.983606557377%","$300.00","","Long Term","$732.00","No","","01/15/2026","","","","","","",""
"GOOGL","ALPHABET INC CLASS A","01/15/2026","02/10/2023","4","$172.00","$94.00","$688.00","$376.00","$312.00","82.978723404255%","$312.00","","Long Term","$376.00","No","","01/15/2026","","","","","","",""
